glyph_id,page_number,line_number,sura_number,ayah_number,position,min_x,max_x,min_y,max_y
2346,115,13,4,34,7,14,1198,1660,1793
2347,116,1,4,35,1,0,1198,10,143
2348,116,2,4,35,2,0,1198,148,281
2349,116,3,4,35,3,14,1198,286,418
2350,116,4,4,36,1,0,1198,423,555
2351,116,5,4,36,2,0,1198,560,693
2352,116,6,4,36,3,0,1198,698,830
2369,116,7,4,36,4,0,1198,835,968
2370,116,8,4,36,5,14,1198,973,1105
2371,116,9,4,37,1,0,1198,1110,1243
2372,116,10,4,37,2,0,1198,1248,1380
2373,116,11,4,37,3,479,1198,1385,1517
2374,116,11,4,38,1,0,479,1385,1517
2375,116,12,4,38,2,0,1198,1522,1655
2376,116,13,4,38,3,0,1198,1660,1793
2377,117,1,4,38,1,785,1198,10,143
2378,117,1,4,39,1,0,785,10,143
2379,117,2,4,39,2,0,1198,148,281
2380,117,3,4,39,3,751,1198,286,418
2381,117,3,4,40,1,0,751,286,418
2382,117,4,4,40,2,0,1198,423,555
2383,117,5,4,40,3,846,1198,560,693
2384,117,5,4,41,1,0,846,560,693
2385,117,6,4,41,2,325,1198,698,830
2386,117,6,4,42,1,0,325,698,830
2387,117,7,4,42,2,0,1198,835,968
2388,117,8,4,42,3,503,1198,973,1105
2389,117,8,4,43,1,0,503,973,1105
2390,117,9,4,43,2,0,1198,1110,1243
2391,117,10,4,43,3,0,1198,1248,1380
2392,117,11,4,43,4,0,1198,1385,1517
2393,117,12,4,43,5,0,1198,1522,1655
2394,117,13,4,43,6,0,1198,1660,1793
2395,118,1,4,43,1,14,1198,10,143
2396,118,2,4,44,1,0,1198,148,281
2397,118,3,4,44,2,14,1198,286,418
2398,118,4,4,45,1,0,1198,423,555
2399,118,5,4,45,2,763,1198,560,693
2400,118,5,4,46,1,0,763,560,693
2401,118,6,4,46,2,0,1198,698,830
2402,118,7,4,46,3,0,1198,835,968
2403,118,8,4,46,4,0,1198,973,1105
2404,118,9,4,46,5,0,1198,1110,1243
2405,118,10,4,46,6,0,1198,1248,1380
2406,118,11,4,46,7,955,1198,1385,1517
2407,118,11,4,47,1,0,955,1385,1517
2408,118,12,4,47,2,0,1198,1522,1655
2409,118,13,4,47,3,0,1198,1660,1793
2410,119,1,4,47,1,14,1198,10,143
2411,119,2,4,48,1,0,1198,148,281
2412,119,3,4,48,2,0,1198,286,418
2413,119,4,4,48,3,856,1198,423,555
2414,119,4,4,49,1,0,856,423,555
2415,119,5,4,49,2,14,1198,560,693
2416,119,6,4,50,1,0,1198,698,830
2417,119,7,4,50,2,698,1198,835,968
2418,119,7,4,51,1,0,698,835,968
2419,119,8,4,51,2,0,1198,973,1105
2420,119,9,4,51,3,0,1198,1110,1243
2421,119,10,4,51,4,584,1198,1248,1380
2422,119,10,4,52,1,0,584,1248,1380
2423,119,11,4,52,2,14,1198,1385,1517
2424,119,12,4,53,1,0,1198,1522,1655
2425,119,13,4,53,2,739,1198,1660,1793
2426,119,13,4,54,1,0,739,1660,1793
2427,120,1,4,54,1,0,1198,10,143
2428,120,2,4,54,2,14,1198,148,281
2429,120,3,4,55,1,0,1198,286,418
2430,120,4,4,55,2,603,1198,423,555
2431,120,4,4,56,1,0,603,423,555
2432,120,5,4,56,2,0,1198,560,693
2433,120,6,4,56,3,0,1198,698,830
2434,120,7,4,56,4,564,1198,835,968
2435,120,7,4,57,1,0,564,835,968
2436,120,8,4,57,2,0,1198,973,1105
2437,120,9,4,57,3,0,1198,1110,1243
2438,120,10,4,57,4,246,1198,1248,1380
2439,120,10,4,58,1,0,246,1248,1380
2440,120,11,4,58,2,0,1198,1385,1517
2441,120,12,4,58,3,0,1198,1522,1655
2442,120,13,4,58,4,0,1198,1660,1793
2443,121,1,4,58,1,911,1198,10,143
2444,121,1,4,59,1,0,911,10,143
2445,121,2,4,59,2,0,1198,148,281
2446,121,3,4,59,3,0,1198,286,418
2447,121,4,4,59,4,0,1198,423,555
2448,121,5,4,59,5,551,1198,560,693
2449,121,5,4,60,1,0,551,560,693
2450,121,6,4,60,2,0,1198,698,830
2451,121,7,4,60,3,0,1198,835,968
2452,121,8,4,60,4,0,1198,973,1105
2453,121,9,4,60,5,440,1198,1110,1243
2454,121,9,4,61,1,0,440,1110,1243
2455,121,10,4,61,2,0,1198,1248,1380
2456,121,11,4,61,3,297,1198,1385,1517
2457,121,11,4,62,1,0,297,1385,1517
2458,121,12,4,62,2,0,1198,1522,1655
2459,121,13,4,62,3,0,1198,1660,1793
2460,122,1,4,62,1,873,1198,10,143
2461,122,1,4,63,1,0,873,10,143
2462,122,2,4,63,2,0,1198,148,281
2463,122,3,4,63,3,629,1198,286,418
2464,122,3,4,64,1,0,629,286,418
2465,122,4,4,64,2,0,1198,423,555
2466,122,5,4,64,3,0,1198,560,693
2467,122,6,4,64,4,537,1198,698,830
2468,122,6,4,65,1,0,537,698,830
2469,122,7,4,65,2,0,1198,835,968
2470,122,8,4,65,3,14,1198,973,1105
2471,122,9,4,66,1,0,1198,1110,1243
2472,122,10,4,66,2,0,1198,1248,1380
2473,122,11,4,66,3,0,1198,1385,1517
2474,122,12,4,66,4,948,1198,1522,1655
2475,122,12,4,67,1,14,948,1522,1655
2476,122,13,4,68,1,386,1198,1660,1793
2477,122,13,4,69,1,0,386,1660,1793
2478,123,1,4,69,1,0,1198,10,143
2479,123,2,4,69,2,0,1198,148,281
2480,123,3,4,69,3,578,1198,286,418
2481,123,3,4,70,1,0,578,286,418
2482,123,4,4,70,2,660,1198,423,555
2483,123,4,4,71,1,0,660,423,555
2484,123,5,4,71,2,141,1198,560,693
2485,123,5,4,72,1,0,141,560,693
2486,123,6,4,72,2,0,1198,698,830
2487,123,7,4,72,3,14,1198,835,968
2488,123,8,4,73,1,0,1198,973,1105
2489,123,9,4,73,2,0,1198,1110,1243
2490,123,10,4,73,3,633,1198,1248,1380
2491,123,10,4,74,1,0,633,1248,1380
2492,123,11,4,74,2,0,1198,1385,1517
2493,123,12,4,74,3,0,1198,1522,1655
2494,123,13,4,74,4,631,1198,1660,1793
2495,123,13,4,75,1,0,631,1660,1793
2496,124,1,4,75,1,0,1198,10,143
2497,124,2,4,75,2,0,1198,148,281
2498,124,3,4,75,3,0,1198,286,418
2499,124,4,4,75,4,14,1198,423,555
2500,124,5,4,76,1,0,1198,560,693
2501,124,6,4,76,2,0,1198,698,830
2502,124,7,4,76,3,14,1198,835,968
2503,124,8,4,77,1,0,1198,973,1105
